1,A&W Root Beer - 12 Pack,Beverages,6.89,2
2,Bathroom Tissue - 2-Ply - 12 Count,Home Cleaning,4.5,2
3,Beef Roast Chuck,Meat & Seafood,13.47,1
4,Chicken Pot Pie,Frozen Foods,2.79,3
5,Crinkle Cut French Fries,Frozen Foods,3.49,2
6,Golden Potatos - 1.5 lb,Fruits & Vegetables,3.99,1
7,Large Eggs - 12 Count,Dairy,2.99,2
8,Mustard - 20 oz,Condiments,1.99,1
9,Oatnut Sandwich Bread,Bakery,2.99,1
10,Olive Oil Extra Virgin - 17 oz,Condiments,5.99,1
11,Pastrami - 0.5 lb,Deli,4.12,1
12,Prepacked Carrots - 2 lb,Fruits & Vegetables,1.99,1
13,Raisin Bran Crunch,Breakfast,5.19,1
14,Spaghetti - 16 oz,"Grains, Pasta, & Sides",2.09,1
15,Whole Milk,Dairy,2.99,1
